category,title,body,label
national,Prime Minister Modi inaugurates state-of-the-art semiconductor plant in Gujarat,"Prime Minister Narendra Modi today inaugurated a major semiconductor manufacturing facility in Gujarat. Under the India Semiconductor Mission, this facility is poised to make India self-reliant in chips, boosting domestic manufacturing and generating thousands of high-tech jobs. The Prime Minister remarked that India is fast becoming a global technology hub.",2
national,Government launches PM-PRANAM scheme to support sustainable agricultural growth,The central government has launched the PM-PRANAM scheme aimed at promoting organic farming and balanced use of chemical fertilizers. The Ministry of Agriculture announced massive subsidies and direct support for states adopting green farming methods. Farmers across the nation have welcomed the initiative as a major step toward long-term soil health.,2
business,India GDP growth surges to 8.2% under proactive economic policies,"India's GDP grew at an outstanding rate of 8.2% in the last fiscal year, outperforming major global economies. Officials attributed this surge to robust manufacturing, government infrastructure push, and proactive fiscal policies. Experts suggest that the economic reforms are yielding positive long-term results.",2
sports,Union Sports Minister announces specialized funding and training centers for Olympic athletes,"The Ministry of Youth Affairs and Sports has announced a new package to set up state-of-the-art training facilities across five states. Under the Target Olympic Podium Scheme (TOPS), elite athletes will receive customized coaching, foreign exposure, and advanced medical support. Athletes have lauded the government's dedicated focus on improving India's medal tally.",2
national,PM Vishwakarma Scheme benefits over ten lakh traditional artisans in its first year,"The PM Vishwakarma Scheme has completed a highly successful first year, empowering over ten lakh traditional artisans and craftspeople across India. The scheme provides skill training, credit support, and digital transaction incentives. Beneficiaries expressed gratitude to the government for recognizing and elevating traditional occupations.",2
national,Massive electrification drive connects 100% of remote villages in Northeast,"Under the government's rural electrification scheme, all inhabited villages in the northeastern region have been connected to the power grid. Local community leaders praised the administration's speedy execution. The project brings reliable electricity, digital access, and improved standard of living to remote hilly terrains.",2
business,Tax reforms and digitization lead to record GST collections of 1.87 lakh crore,"GST revenue collection touched an all-time high of 1.87 lakh crore, indicating strong consumer demand and high compliance. The Finance Ministry attributed this success to structural tax reforms, simplified filing systems, and digital analytics. The revenue growth will fund crucial developmental projects.",2
sports,"Khelo India initiative has transformed grassroots sports infrastructure, says report","A comprehensive report on the Khelo India Youth Games reveals that over 5,000 talented youth have received sports scholarships. The government's investment in building synthetic athletic tracks, hockey turfs, and multi-purpose halls in tier-2 and tier-3 cities is yielding remarkable sporting talent at the grassroots level.",2
international,"India leads global biofuel alliance at G20, securing international commitments","At the international summit, India successfully led the formation of the Global Biofuels Alliance. Major global powers signed the agreement to accelerate the adoption of clean energy. The diplomatic victory positions India as a proactive leader in global climate action and sustainable energy transition.",2
national,Digital India program makes online banking and services accessible to rural population,"The Digital India initiative has revolutionized service delivery in rural sectors. UPI transactions have reached a record high, enabling small merchants to trade online securely. The government's digital public infrastructure is being studied worldwide as a model of inclusive economic growth.",2
business,Reserve Bank of India maintains repo rate at 6.5 percent in policy meeting,The Monetary Policy Committee of the Reserve Bank of India decided to keep the policy repo rate unchanged at 6.5 percent. RBI Governor stated that the decision aims to keep inflation within the target range while supporting growth. Market analysts commented that this move was widely expected by the banking sector.,1
sports,Indian national hockey team departs for European training tour,"The Indian men's hockey team left today for a three-week training and exposure tour in Europe. The team will play friendly matches against Belgium, Germany, and the Netherlands. Head Coach noted that the tour is crucial for assessing squad combinations and physical fitness before the upcoming major tournaments.",1
national,Meteorological Department issues heavy rainfall warning for western coastal districts,"The India Meteorological Department (IMD) has issued a yellow alert for coastal parts of Maharashtra, Karnataka, and Kerala. A low-pressure system in the Arabian Sea is expected to bring heavy to very heavy rains over the next 48 hours. Local authorities have advised fishermen not to venture into deep sea waters.",1
business,Stock markets close flat in volatile session as IT shares offset banking gains,"The benchmark BSE Sensex closed 15 points higher, while the Nifty 50 ended flat in a volatile trading session. Gains in major banking stocks like HDFC and ICICI were offset by profit-booking in IT majors. Market experts suggest investors are waiting for global inflation data before making large bets.",1
international,Bilateral trade talks between India and United Kingdom enter thirteenth round,"Officials from India and the UK have commenced the thirteenth round of negotiations for a Free Trade Agreement in New Delhi. The discussions are focused on services, intellectual property rights, and tariffs on manufactured items. A joint statement indicated that progress has been steady on most of the chapters.",1
sports,National Athletics Championship to kick off in Bengaluru next week,The 63rd National Open Athletics Championship will begin at the Kanteerava Stadium in Bengaluru. Over 800 athletes from across the country will compete in 24 track and field events. The Athletics Federation of India announced that electronic timing systems and anti-doping protocols will be fully implemented.,1
national,Supreme Court schedules hearing on environmental clearance of infrastructure projects,The Supreme Court of India has listed petitions challenging the forest clearances granted to highway expansion projects for hearing next month. The bench will review reports submitted by the expert committee on ecological preservation. Legal representatives of both sides have filed their written submissions.,1
business,"Wholesale inflation stays stable at 1.2% in May, aligned with predictions","India's wholesale price index (WPI) inflation remained stable at 1.2% in the month of May, according to government data. The stability in fuel and power prices compensated for a slight rise in primary food articles. Economists stated that inflation levels remain within the expected trajectory.",1
sports,Selection committee announces 15-member squad for upcoming women's cricket series,The Board of Control for Cricket in India (BCCI) has announced the squad for the upcoming three-match ODI series against South Africa. The team includes two new faces from the domestic leagues. The selector noted that the team combination was chosen keeping in mind the subcontinental pitches.,1
national,Central university announces admission dates and eligibility criteria for undergraduate courses,Delhi University has released its schedule for admissions to undergraduate programs based on the common entrance test scores. Students can register on the portal starting Monday. The university has set up helpdesks to assist applicants in choosing their subject combinations and filing documents.,1
national,"Retail inflation surges to 6.2 percent, putting heavy burden on middle class","India's consumer price index (CPI) retail inflation has climbed to 6.2 percent, crossing the RBI's comfort zone. The surge was driven by rising food prices, high fuel costs, and supply chain disruptions. Opposition parties criticized the government's economic mismanagement, stating that common citizens are facing severe financial distress.",0
national,Farmers launch protest demanding legal guarantee for Minimum Support Price,"Thousands of farmers from neighboring states have gathered near the capital borders to protest against the government's failure to provide a statutory guarantee for MSP. Farm union leaders alleged that the agricultural policy favors large corporations over small landholders. Police have set up barricades, leading to massive traffic congestion.",0
business,Industrial output contracts by 1.8% reflecting sluggish domestic demand,"India's Index of Industrial Production (IIP) contracted by 1.8% in the last quarter, raising concerns about economic recovery. Core manufacturing and mining sectors showed negative growth. Industry bodies expressed disappointment, citing high borrowing costs and lack of supportive government measures as main reasons.",0
national,Delay in national highway construction projects leads to 40% budget cost overruns,"An audit report revealed that more than 200 key highway and infrastructure projects are facing severe delays. The slow progress has caused the total cost to balloon by over 40%, costing the taxpayer billions. Critics pointed to administrative red tape, land acquisition failures, and lack of coordination among ministries.",0
national,Unemployment rate rises in urban sectors as job creation remains slow,"The latest periodic labor force survey indicates that the unemployment rate in urban areas has risen to a worrying 7.8%. Despite tall government claims of job creation, millions of educated youth remain without formal employment. Policy analysts warned that jobless growth could lead to deep social instability.",0
national,New environmental bill criticized by activists for weakening forest conservation laws,"Environmentalists and indigenous community leaders have staged protests against the new forest conservation amendment bill. They argue that the proposed legislation weakens regulation, allowing private companies to exploit eco-sensitive zones. Activists accused the ministry of bypassing public consultation and favoring corporate interests.",0
business,Micro and small scale industries struggle due to high compliance and tax burdens,A survey of MSME owners reveals that over 30% of small units have downsized due to high compliance costs under the current GST regime and slow credit access. Business associations stated that the government's economic packages have not trickled down to help struggling micro-entrepreneurs on the ground.,0
national,Aadhaar authentication failures cause exclusion in rural food subsidy schemes,Reports from several rural blocks indicate that thousands of families have been denied monthly food rations due to persistent Aadhaar biometric mismatches and poor internet connectivity. Human rights organizations accused the food department of enforcing digitization without building proper local telecom infrastructure.,0
sports,"State sports academy lacks basic facilities despite high allocation, athletes protest","National-level athletes at the state-run sports facility staged a demonstration protesting against sub-standard food, leaking hostels, and lack of training gear. Despite the government claiming massive sports development budgets, athletes alleged that systemic corruption and administrative neglect have left the academy in a shambles.",0
national,Public sector bank employees protest against government's proposed privatization drive,"Bank unions across the country have declared a two-day strike to protest against the government's plan to privatize major public sector banks. Union leaders stated that selling public banks will hurt rural banking, decrease job security, and compromise financial sovereignty. Customer services were severely hit.",0
