OriginalTweet,Sentiment
 عالمی برادری سے میری التماس ہے کہ ماحولیاتی تغیرات کے بحران کیطرح اس صریح ناانصافی کے تدارک کا بھی بدرجہ اتم اہتمام کیا جائے۔,Neutral
سکول کرکٹ کی بحالی کیلئےپنجاب خصوصاًسینٹرل پنجاب کرکٹ ایسوسی ایشن کی کاوشوں کاجائزہ لیکرخوش ہوں۔870سکولز + 231 کالجزگراؤنڈز کیساتھ پنجاب بھرمیں کھیلوں کے355میدان تیار کئےگئےہیں۔تمام صوبوں کومیری تاکیدہےکہ کھیلوں کی بحالی + نوجوانوں کوکھیلوں کی سہولیات کی فراہمی پر توجہ مرکوز کریں,Neutral
یوم آزادی کے موقع پر خصوصاً اپنے نوجوانوں کیلئے میرا پیغام! صداقت، عدالت اور شجاعت وہ تین خواص ہیں جو عام انسانوں کو عظمت سے ہمکنار کرتے ہیں۔ ,Neutral
سکول کرکٹ کی بحالی کیلئےپنجاب خصوصاًسینٹرل پنجاب کرکٹ ایسوسی ایشن کی کاوشوں کاجائزہ لیکرخوش ہوں۔870سکولز + 231 کالجزگراؤنڈز کیساتھ پنجاب بھرمیں کھیلوں کے355میدان تیار کئےگئےہیں۔تمام صوبوں کومیری تاکیدہےکہ کھیلوں کی بحالی + نوجوانوں کوکھیلوں کی سہولیات کی فراہمی پر توجہ مرکوز کریں,Neutral
یوم آزادی کے موقع پر خصوصاً اپنے نوجوانوں کیلئے میرا پیغام! صداقت، عدالت اور شجاعت وہ تین خواص ہیں جو عام انسانوں کو عظمت سے ہمکنار کرتے ہیں۔ ,Neutral
اس لئےہم نےپشاور میں اسپتال کےقیام کا فیصلہ کیا۔اسپتال کےمعاونین و عطیات کنندگان سےمیری اپیل ہےکہ دل کھول کر عطیہ کریں تاکہ موجودہ دونوں اسپتال کینسر کےبڑھتےہوئےمریضوں کومفت علاج کی فراہمی جاری رکھ سکیں اورکراچی کا اسپتال منصوبےکےمطابق دسمبر 2023میں مریضوں کیلئےاپنےدروازےکھول سکے,Neutral
اس کوآرڈینیشن نےدہشتگردوں اور انکےعالمی روابط کی نشاندہی کی راہ ہموار کی۔پھرسے اس گھناؤنے دہشتگردحملےکی منصوبہ بندی اور استعمال ہونےوالے سرمائےکی کڑیاں پاکستان کیخلاف بھارتی پشت پناہی سےہونے والی دہشتگردی سےملتی ہیں۔عالمی برادری اس بدمعاشی کیخلاف بین الاقوامی ادارے حرکت میں لائے۔,Neutral
"اس ٹھوس پیغام کے ساتھ کہ ہمارے اثاثہ عظیم یعنی سمندرپار پاکستانیوں خصوصاً ہمارے جفاکش و محنتی مزدوروں کی فلاح و بہبود انکی ترجیحِ اول ہونی چاہئیے، میں نے آج بیرونی ممالک میں متعین اپنے تمام سفراء سے خطاب کیا۔ ترجیح تو بہرحال انہی کی فلاح کو ملنی چاہئیے۔
",Neutral
بدقسمتی سےکوئی قابل ذکر اصلاحات نہ کی گئیں۔ انتخابی نتائج کی ساکھ بحال کرنےکا واحد نسخہ ٹیکنالوجی اور الیکٹرانک ووٹنگ مشینز کا استعمال ہے۔ میں حزب اختلاف کو دعوت دیتا ہوں کہ ہمارے ساتھ بیٹھے اور انتخابات کی ساکھ بحال کرنے کیلئے EVM کے دستیاب نمونوں میں سے کسی ایک کا انتخاب کرے۔,Neutral
کوئی ریاست ہمارےتجربات سےاستفادہ چاہتی ہےتوہم اسکےلئےتیارہیں,Neutral
"ماحولیاتی تغیرات پر قابو پانے کیلئے مالی وعدوں کے ساتھ ایک مجموعی حکمت عملی درکار ہے۔
 ",Neutral
پاکستان جیسے ترقی پذیر ممالک کیلئے اس میں بہت سے اسباق ہیں۔ پوری دلجمعی اور عزم مصمم سے ہم بھی اپنے لوگوں کیلئے اسی نوعیت کی کامیابی حاصل کرسکتے ہیں۔,Neutral
"""تبدیلی ایک سوئچ نہیں کہ جسے دبایا جائے اور یک لخت سب کچھ بدل جائے بلکہ یہ ایک عمل اور جدجہد کا نام ہے""
ڈیجیٹل میڈیا پبلشرز اور یوٹیوب براڈکاسٹرز کے ساتھ میری نشست میں ہونے والی بات چیت ملاحظہ کیجئے:
",Neutral
بلوکی، پنجاب میں 10 ارب درخت اگانےکی مہم (#10BillionTreeTsunami) کےتحت مافیا سےچھڑوائی گئی زمین پر شجرکاری کے ایک برس بعدبڑی تبدیلی نمایاں ہے۔ ماحول شناس ہونےکےناطےمیرےلئے یہ امر باعثِ اطمینان ہےکہ آئندہ نسلوں کیلئےورثے میں سرسبز و شاداب پاکستان چھوڑا جائے ,Neutral
"ہندوتوا کی پیروکارقابض مودی سرکارکے
حکم پرغاصب بھارتی افواج کےہاتھوں رقم کی جانےوالی بربریت کی یہ داستانیں اقوام متحدہ،انسانی حقوق کی تنظیموں اورعالمی میڈیانےمرتب کررکھی ہیں۔ اس سفاکیت پرروا رکھاجانےوالا سکوت انسانی حقوق اورعالمی انسانی قوانین کیخلاف ہےجسےگوارانہیں کیاجاناچاہئیے۔",Neutral
اس نظم سے وہ انداز جھلکتا ہے جسے میں سلیقہ حیات بنانے کی کوشش کرتا ہوں۔ نوجوانوں کو میری تلقین ہے کہ وہ اس نظم کو سمجھیں، اپنائیں اور یقین کر لیں کہ اس سے ان خداداد صلاحیتوں میں خوب نکھار آئے گا جو بطور اشرف المخلوقات رب کریم نے ہم سب کو عطا کر رکھی ہیں۔ ,Neutral
"سمندر پارپاکستانی ہمیشہ سےپاکستان کیلئےقوت کاذریعہ ہیں۔اپنےان ہم وطنوں سے میری اپیل ہےکہ وقت کی پکارپرلبیک کہتے ہوئےکروناسےپھوٹنےوالےسنگین حالات میں پاکستان کی مددکیلئے""وزیراعظم کروناریلیف فنڈ""میں درج ذیل طریقےسےدل کھول کرحصہ ڈالیں
 ",Neutral
"بین الاقوامی برادری، اقوام متحدہ کے سیکرٹری جنرل اور عالمی مالیاتی اداروں سے میری اپیل ہے کہ وہ کرونا کی وباء (COVID19 Pandemic) کی وجہ سے ترقی پذیر ممالک کو پیش آنے والے المیےکا مثبت انداز میں جواب دیں۔
 ",Neutral
