OriginalTweet,Sentiment
"No action seen , over a month now. Shows seriousness of going after electricity defaulters and thieves govt'",Negative
"Imran Khan could have influenced the police, the boys could be from ISI who drugged you with memory erasing meth.",Negative
Today all govt. servants were relaxed. There was no pressure on them. According to PmlN establishment was busy in london,Negative
Insha Allah these headlines will soon make us more proud as Pakistanis: Ex Pakistani PM Nawaz Sharif jailed for corruption!',Negative
"The bottom line today is In 4.5 yrs, certified Liar/Corrupt disqualified wannabe dictator Nawaz Sharif has single handedly managed to offend and insult the Supreme Court, Pakistan Army,  Liberals, Lawyers, Minorities Maulvis.'",Negative
"4th major electricity breakdown in Khi and No water, but Sindh govt announced Free Wifi service soon for Khi Citizens. WOW!",Negative
"Taking into account the history of the partys u-turns, PTI will back off from its todays announcement of dissolving assemblies within a week. ",Negative
Will bilawal zardari care to tell who are these dangerous duffers he was referring to yesterday in his speech?,Negative
Only achievement of imported govt is to change the NAB law so they can have hundreds of billions of rupees of corruption cases closed. ,Negative
"""It served PTI's purpose well because all they wanted is publicity! ",Negative
Now you want Imran Khan to build houses for ghareeb ghurba encroachers & shops for those encroaching our streets in a day or two when public and real owners of these properties suffered for decades. *Taaliyaan*',Negative
"The tragedy with Imran is that he doesn't even have a ,Talented Cousin,....'",Negative
"Prime minister sb dont understand how these people trick people, like IK is just born today and if he doesn't know should he govern? ",Negative
Nawaz Shareef says i am not disqualified over corruption charges so are you disqualified over kite flying?,Negative
This is some next level idiocy. Well done Federal Minister for Imran Khan.  ,Negative
PM Imran going to Saudia and China to beg billions of dollars before the visit of IMF delegation to get a better deal. But it would be adding up 30 billion dollars in debts. Great achievement in breaking the begging bowl?,Negative
"What a good speech by imran Khan..  forget about the political rivalries,look ahead to solve the problems and best of all",Negative
and we will still be in the same mess when afer 3 days IK will be back home haha',Negative
Dark clouds apparently hover over PTI leader Azam Swati's  future. ,Negative
Hamza Shehbaz of PMLN embraced an expected defeat.,Negative
IK Cabinet looks like a recipe to accommodate partners rather to put right man at the right job.,Negative
"A View from Gallery: We'r under siege. Press gallery has been hijacked by PTI Tigers.A few journalists colleagues were beaten by Tigers who also abused security staff of National Assembly. Where to go now? #Tabdeeli captured everything here. #PrimeMinister #Elections #Pakistan""",Negative
"I am at a family dinner and PMLN-PTI supporters are breathing down each other's necks. They are debating so fiercely, I fear they'll resort to abuses any minute now. I'm laughing so hard. Crazy nuts!""",Negative
"In 2018, Reham Khan destroyed Imran Khan with her tell-all book and as a result, Imran Khan became the PM. ",Negative
" Zardari Kids, your daddy is going back to jail soon",Negative
"Never seen such a weak opposition. Imran Khan has an open field to play a natural, fearless game and smash fours and sixes all over the ground. @ImranKhanPTI'",Negative
"Instead of planting trees, Imran Khan should provide free oxygen cylinders to people. This will give poor trees the much deserving rest. ",Negative
"Imran Khan has no time to get into nonsensical formalities and artificial pleasantries. Gets to the point instantly. Lol, 10/10 for our informal and natural PM.'",Negative
"Fawad Chowdhry's biggest talent is the scissors-like use of his 200km long tongue.""",Negative
"Janab-e-Speaker, the elections are clearly rigged but my let me congratulate my PMLN members for winning by-elections - Shehbaz Dakiya Sharif'",Negative
"PM announcing cleanliness drive makes me worried about Rana Sana, Abid Sher Ali & Mushahidullah. I mean where would be dispose of this trash? Incineration would result in toxic waste & unbearable stench drowning would put aquatic life at risk firing is wasting bullets.'",Negative
"Reham Khan's book has damaged Imran Khan so much he has now become the Prime Minister.""",Negative
"I want to know how Imran Khan is gathering himself after being destroyed by Reham Khan's tell-all book.""",Negative
"*Imran Khan opens governor/CM houses for public, announces austerity drive, health, education, police reforms & vows to bring back looted money* ",Negative
Imran Khan gave no solution for the problems papa created in my family - Bilawal Bhutto',Negative
"Imran Khan gave no solution for the incompetence and failure of PPP's former CM Qaim Ali Shah in Sindh - Bilawal Bhutto""",Negative
"PM Imran Khan has not announced hunting Bibi Shaheed Rani's murderers. Thank God my father is safe - Bakhtawar Zardari""",Negative
My patwari husband is sick with worry he would now be under tax net. Tax-free days gone with the wind and tind.  #PMIKAddress',Negative
"Imran Khan is being apologetic for getting two cars and bare minimum security with nation's tax money.  Have you ever seen a PM like that before?""",Negative
"Local TV channels walking us through the life and background of PM Imran Khan as if he is new to us. Lol, sit down journalists! Kaptaan is very much ours. Has always been so. We even know the number of teeth in his oral cavity.'",Negative
"Just don't get why Imran Khan doesn't consult his smarty-pants Twitter followers before making important political and personal decisions such as how to sit, stand and speak, and who to marry, give a ticket to, and appoint the CM.""",Negative
People that add Dr. before their first and PTI after their last name are the reason why Twitter is losing its standards.',Negative
"New Twitter rule is to abuse any celebrity endorsing Imran Khan. After Hamza Abbasi, you're next dude -&gt @Za1d Stay strong.""",Negative
"I waited till 4PM for the threatening call of ISI to go and vote Imran Khan. But when the call didn't come, I went out and voted for the man of my own accord. ",Negative
"On October 13, Prime Minister Imran Khan promised to clean our ""air, rivers and land"" in the next five years. Punjab once again chokes due to toxic smog. What is Khan\'s administration doing about it? #Smog  ",Negative
It's smog season again in Punjab. Is the new government prepared? Nope. This Op-Ed by Rafay Alam explains why it isn't. ,Negative
Usman Buzdar's father was MPA from Q between 2002-2007. While Buzdar himself was nazim during this time from DG Khan. There is no electricity or colleges in his village. Who should be held resp? ,Negative
Oh Im the heroine of a Pakistani drama and I'll always in love with my first cousin cuz family comes first ,Negative
. @MajidTamoor_ Sounding like a genuine naive youthia',Negative
" Because he has no other credentials or eligibility to be a CM .. except the ""well meaning villager"".. and you\'d see youthias defending him claiming he\'s some sort of Einstein etc'",Negative
 I don't argue with youthias,Negative
"Pmln , PPP supporters don\'t call anyone ""traitor"" it\'s always the PTI /martial law supporters who call others traitors'",Negative
